"dataset","Database_ID","PermanentID","add_date","paper_id","title","year","authors","journal","doi","contact","sample_name","sample_type","manipulated","sample_description","latitude","longitude","continent","year_of_sampling"
570,"its1",57040,"GF05014090S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","CAMs7a","soil",FALSE,"topsoil",4.55737,-52.20909,"South America"
571,"its1",49819,"GF05014089S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","CAMs6b","soil",FALSE,"topsoil",4.55737,-52.20909,"South America"
572,"its1",73420,"GF05014088S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","CAMs6a","soil",FALSE,"topsoil",4.55737,-52.20909,"South America"
573,"its1",20080,"GF05014087S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","CAMs5b","soil",FALSE,"topsoil",4.55737,-52.20909,"South America"
574,"its1",46083,"GF05014086S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","CAMs5a","soil",FALSE,"topsoil",4.55737,-52.20909,"South America"
575,"its1",62963,"GF05014085S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","CAMs4b","soil",FALSE,"topsoil",4.55737,-52.20909,"South America"
576,"its1",75570,"GF05014084S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","CAMs4a","soil",FALSE,"topsoil",4.55737,-52.20909,"South America"
577,"its1",77793,"GF05014083S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","CAMs3b","soil",FALSE,"topsoil",4.55737,-52.20909,"South America"
578,"its1",67205,"GF05014082S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","CAMs3a","soil",FALSE,"topsoil",4.55737,-52.20909,"South America"
579,"its1",82986,"GF05014081S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","CAMs2b","soil",FALSE,"topsoil",4.55737,-52.20909,"South America"
580,"its1",45377,"GF05014080S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","CAMs2a","soil",FALSE,"topsoil",4.55737,-52.20909,"South America"
581,"its1",44778,"GF05014079S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","CAMs1b","soil",FALSE,"topsoil",4.55737,-52.20909,"South America"
582,"its1",80282,"GF05014078S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","CAMs1a","soil",FALSE,"topsoil",4.55737,-52.20909,"South America"
583,"its1",78177,"GF05014077S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","CAMs16b","soil",FALSE,"topsoil",4.55737,-52.20909,"South America"
584,"its1",73748,"GF05014076S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","CAMs16a","soil",FALSE,"topsoil",4.55737,-52.20909,"South America"
585,"its1",54107,"GF05014075S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","CAMs15b","soil",FALSE,"topsoil",4.55737,-52.20909,"South America"
586,"its1",62044,"GF05014074S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","CAMs15a","soil",FALSE,"topsoil",4.55737,-52.20909,"South America"
587,"its1",70811,"GF05014073S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","CAMs14b","soil",FALSE,"topsoil",4.55737,-52.20909,"South America"
588,"its1",8920,"GF05014072S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","CAMs14a","soil",FALSE,"topsoil",4.55737,-52.20909,"South America"
589,"its1",51120,"GF05014071S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","CAMs13b","soil",FALSE,"topsoil",4.55737,-52.20909,"South America"
590,"its1",66272,"GF05014070S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","CAMs13a","soil",FALSE,"topsoil",4.55737,-52.20909,"South America"
591,"its1",48081,"GF05014069S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","CAMs12b","soil",FALSE,"topsoil",4.55737,-52.20909,"South America"
592,"its1",66274,"GF05014068S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","CAMs12a","soil",FALSE,"topsoil",4.55737,-52.20909,"South America"
593,"its1",73421,"GF05014067S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","CAMs11b","soil",FALSE,"topsoil",4.55737,-52.20909,"South America"
594,"its1",77229,"GF05014066S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","CAMs11a","soil",FALSE,"topsoil",4.55737,-52.20909,"South America"
595,"its1",84960,"GF05014065S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","CAMs10b","soil",FALSE,"topsoil",4.55737,-52.20909,"South America"
596,"its1",53633,"GF05014064S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","CAMs10a","soil",FALSE,"topsoil",4.55737,-52.20909,"South America"
597,"its1",74520,"GF05014063S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","BALTFs9b","soil",FALSE,"topsoil",4.88418,-52.62919,"South America"
598,"its1",77640,"GF05014062S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","BALTFs9a","soil",FALSE,"topsoil",4.88418,-52.62919,"South America"
599,"its1",62970,"GF05014061S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","BALTFs8b","soil",FALSE,"topsoil",4.88418,-52.62919,"South America"
600,"its1",74877,"GF05014060S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","BALTFs8a","soil",FALSE,"topsoil",4.88418,-52.62919,"South America"
601,"its1",74010,"GF05014059S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","BALTFs7b","soil",FALSE,"topsoil",4.88418,-52.62919,"South America"
602,"its1",80217,"GF05014058S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","BALTFs7a","soil",FALSE,"topsoil",4.88418,-52.62919,"South America"
603,"its1",74773,"GF05014057S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","BALTFs6b","soil",FALSE,"topsoil",4.88418,-52.62919,"South America"
604,"its1",77044,"GF05014056S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","BALTFs6a","soil",FALSE,"topsoil",4.88418,-52.62919,"South America"
605,"its1",80220,"GF05014055S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","BALTFs5b","soil",FALSE,"topsoil",4.88418,-52.62919,"South America"
606,"its1",73555,"GF05014054S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","BALTFs5a","soil",FALSE,"topsoil",4.88418,-52.62919,"South America"
607,"its1",82489,"GF05014053S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","BALTFs4b","soil",FALSE,"topsoil",4.88418,-52.62919,"South America"
608,"its1",50976,"GF05014052S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","BALTFs4a","soil",FALSE,"topsoil",4.88418,-52.62919,"South America"
609,"its1",67814,"GF05014051S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","BALTFs3b","soil",FALSE,"topsoil",4.88418,-52.62919,"South America"
610,"its1",67813,"GF05014050S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","BALTFs3a","soil",FALSE,"topsoil",4.88418,-52.62919,"South America"
611,"its1",42885,"GF05014049S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","BALTFs2b","soil",FALSE,"topsoil",4.88418,-52.62919,"South America"
612,"its1",62275,"GF05014048S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","BALTFs2a","soil",FALSE,"topsoil",4.88418,-52.62919,"South America"
613,"its1",74009,"GF05014047S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","BALTFs1b","soil",FALSE,"topsoil",4.88418,-52.62919,"South America"
614,"its1",40404,"GF05014046S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","BALTFs1a","soil",FALSE,"topsoil",4.88418,-52.62919,"South America"
615,"its1",78228,"GF05014045S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","BALTFs16b","soil",FALSE,"topsoil",4.88418,-52.62919,"South America"
616,"its1",79940,"GF05014044S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","BALTFs16a","soil",FALSE,"topsoil",4.88418,-52.62919,"South America"
617,"its1",52136,"GF05014043S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","BALTFs15b","soil",FALSE,"topsoil",4.88418,-52.62919,"South America"
618,"its1",31767,"GF05014042S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","BALTFs15a","soil",FALSE,"topsoil",4.88418,-52.62919,"South America"
619,"its1",69946,"GF05014041S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","BALTFs14b","soil",FALSE,"topsoil",4.88418,-52.62919,"South America"
620,"its1",58476,"GF05014040S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","BALTFs14a","soil",FALSE,"topsoil",4.88418,-52.62919,"South America"
621,"its1",76561,"GF05014039S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","BALTFs13b","soil",FALSE,"topsoil",4.88418,-52.62919,"South America"
622,"its1",80670,"GF05014038S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","BALTFs13a","soil",FALSE,"topsoil",4.88418,-52.62919,"South America"
623,"its1",79553,"GF05014037S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","BALTFs12b","soil",FALSE,"topsoil",4.88418,-52.62919,"South America"
624,"its1",74439,"GF05014036S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","BALTFs12a","soil",FALSE,"topsoil",4.88418,-52.62919,"South America"
625,"its1",81948,"GF05014035S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","BALTFs11b","soil",FALSE,"topsoil",4.88418,-52.62919,"South America"
626,"its1",71660,"GF05014034S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","BALTFs11a","soil",FALSE,"topsoil",4.88418,-52.62919,"South America"
627,"its1",74742,"GF05014033S","30.10.2023","Donald_2021_SQ","Multi-taxa environmental DNA inventories reveal distinct taxonomic and functional diversity in urban tropical forest fragments",2021,"Donald, J., Murienne, J., Chave, J., Iribar, A., Louisanna, E., Manzi, S., Roy, M., Tao, S., Orivel, J., Schimann, H. and Zinger, L.","Global Ecology and Conservation","10.1016/j.gecco.2021.e01724","julesdonald@gmail.com","BALTFs10b","soil",FALSE,"topsoil",4.88418,-52.62919,"South America"
