new.ID,SampleID,Codigo_Atlas,Latitud,Longitud,Concentracion_DNA,Rel_260_280,Fecha extraccion,pH,Humedad,NH4,NO3,HPO4,Ct ,Ci,Co,Nt,Pt,C_N,C_P,N_P,Cmic ,Nmic ,Cmic_Nmic,CO2,B-GLU,POX,LEU,FME,Estado,Localidad,Sitio,Altitud,Sistema,Clima,Tipo_suelo,Vegetacion_ general,Vegetacion_descripción,Tipo_manejo,Historia_manejo,Responsable,Recolector,Fecha_colecta
NEF_AtlasMXB_B54_2025,B54,MXB54_S,19.107,-99.161,33.2,1.98,45322,4.9,10.64,20.40884551,29.01,0,118.168,0.0033732,118.1646268,6.243875,1.163375,18.92488668,101.5705399,5.367035565,217.2410936,87.33275912,2.487509793,48.70470721,0.00571169,0.001041468,0.2495569,0.031194612,Ciudad de México,"San Miguel Topilejo, Tlalpan",Ejido San Miguel Topilejo,3034,forestal,"Cb(w2)(w), semifrio",Andosol Húmico,Bosque,Bosque mixto,Conservación,Área de Conservación y Restauración Ambiental Comunitaria bajo el cuidado del Núcleo Agrario,Edwin Sosa Cabrera,Equipo CORENADR,15/11/2023
NEF_AtlasMXB_B55_2025,B55,MXB55_S,19.117,-99.071,30.9,2,45328,4.84,9.24,12.81180195,7.18,0,74.239,0.002281,74.236719,5.414875,1.941375,13.7097752,38.23924744,2.789195802,258.0991254,77.93260649,3.311824626,68.94384588,0.008971722,0.018734967,0.001708899,0.053403106,Ciudad de México,"San Pablo Oztotepec, Milpa Alta",San Pablo Oztotepec,3020,forestal,"Cb(w2)(w), semifrio",Andosol Húmico,Pastizal,Pastizal-Zacate,,,Edwin Sosa Cabrera,Equipo CORENADR,30/10/2023
NEF_AtlasMXB_B56_2025,B56,MXB56_S,19.153,-99.11,33,2.04,45273,4.87,7.17,12.64835929,3.395,0,93.991,0.0020112,93.9889888,6.1685,1.07825,15.23692775,87.16808607,5.72084396,223.548726,6.756892231,33.0845481,114.4640999,0.00622718,0.004072003,0.243933672,0.163624523,Ciudad de México,"San Salvador Cuauhtenco, Milpa Alta",Comunidad San Salvador Cuauhtenco,3340,forestal,"Cb(w2)(w), semifrio",Regosol Eútrico,Bosque,VSA/Bosque pino,,,Edwin Sosa Cabrera,Equipo CORENADR,30/10/2023
NEF_AtlasMXB_B57_2025,B57,MXB57_S,19.133,-99.046,34.6,2.01,45268,4.79,8.58,12.51417742,28.6,0,91.041,0.004101,91.036899,6.991375,1.107375,13.02131541,82.20963901,6.313466531,97.39226099,11.36089207,8.572589225,167.1403771,1.19E-17,0.020611374,0.039870918,0.073379456,Ciudad de México,"Villa Milpa Alta, Milpa Alta",Milpa Alta,3160,forestal,"Cb(w2)(w), templado subhumedo",Litosol,Bosque,Bosque mixto,,,Edwin Sosa Cabrera,Equipo CORENADR,28/11/2023
NEF_AtlasMXB_B58_2025,B58,MXB58_S,19.103,-98.988,34.9,2,45271,4.79,7.39,8.612219851,8.495,0,63.002,0.0026787,62.9993213,3.64875,0.66775,17.26600104,94.34567024,5.464245601,135.8308492,0.264569087,513.4040816,58.90664202,0.026862593,0.008954373,0.021825857,0.083945603,Ciudad de México,"Monte Tláloc, Milpa Alta",Monte Tláloc,3560,forestal,"Cb(w2)(w), templado subhumedo",Andosol Húmico,Bosque,VSA/Bosque pino,,,Edwin Sosa Cabrera,Equipo CORENADR,28/11/2023
NEF_AtlasMXB_B59_2025,B59,MXB59_S,19.156,-98.967,33.2,2.02,45328,5.82,8.19,12.57364078,5.6,0,62.272,0.0031658,62.2688342,3.96075,1.13575,15.72147553,54.82618023,3.487343165,259.3782592,20.57725039,12.60509807,102.9992386,0.037165488,0.00300333,0.045612189,0.094603059,Ciudad de México,"Santa Ana Tlacotenco, Milpa Alta",Ejido Santa Ana Tlacotenco (SPMFYS),2760,forestal,"Cb(w1)(w), templado subhumedo",Feozem Háplico,Bosque,Bosque mixto,Agroforestal,Área de Conservación y Restauración Ambiental Comunitaria bajo el cuidado del Núcleo Agrario,Edwin Sosa Cabrera,Equipo CORENADR,28/11/2023
NEF_AtlasMXB_B60_2025,B60,MXB60_S,19.225,-99.284,37.4,2,45328,4.51,13.37,24.13400113,13.855,0,132.983,0.0034986,132.9795014,6.4375,0.931,20.65700993,142.835125,6.914607948,145.9107815,30.77351392,4.741440378,107.2639165,0.009322183,0.032620058,0.055045273,0.886939157,Ciudad de México,"La Magdalena Petlacalco, Tlalpan",Ejido La Magdalena Petlacalco,3415,forestal,"Cb(w2)(w), semifrio",Andosol Húmico,Bosque,Bosque mixto,,Área de Conservación y Restauración Ambiental Comunitaria bajo el cuidado del Núcleo Agrario,Edwin Sosa Cabrera,Equipo CORENADR,21/11/2023
NEF_AtlasMXB_B61_2025,B61,MXB61_S,19.224,-99.031,33.3,1.99,45328,5.76,3.45,6.22918898,3.45,0,29.965,0.0021925,29.9628075,2.49425,0.527,12.01275233,56.8554222,4.732922201,289.2680104,35.99226965,8.036948301,35.36336845,0.01566273,0.009995783,0.038152803,0.020482031,Ciudad de México,"Santiago Tulyehualco, Xochimilco",Volcán Teuhtli,2680,forestal,"BS1kw(w), seco semiarido",Andosol Húmico,Pastizal,Pastizal-Zacate,Conservación,Área de Conservación y Restauración Ambiental Comunitaria bajo el cuidado del Núcleo Agrario,Edwin Sosa Cabrera,Equipo CORENADR,28/11/2023
NEF_AtlasMXB_B62_2025,B62,MXB62_S,19.183,-98.966,34.7,2.04,45274,5.59,7.1,5.609418239,3.13,8.192258931,30.302,0.0020406,30.2999594,2.117625,1.133125,14.30846321,26.74017377,1.868836183,418.5629573,77.26314155,5.417369122,59.04169167,0.014915276,0.002455237,0.01035783,0.077062259,Ciudad de México,"San Nicolás Tetelco, Milpa Alta",Ejido Tetelco,2500,agro,"Cb(w1)(w), templado subhumedo",Litosol,Agricultura activa,Cultivo de Maíz,Cultivo de Maíz,Parcela de Clemente Guillermo Jiménez Pineda (DCPS),Edwin Sosa Cabrera,Equipo CORENADR,10/11/2023
NEF_AtlasMXB_B63_2025,B63,MXB63_S,19.275,-99.068,36.8,1.99,45328,7.84,13.66,10.79852586,49.9,62.25975334,65.914,3.174,62.74,5.331125,1.0835,11.76862295,57.9049377,4.920281495,202.9641723,40.6293742,4.995503286,209.532592,0.038099005,0.052681135,0.016781705,0.003628477,Ciudad de México,"San Gregorio Atlapulco, Xochimilco",Ejido San Gregorio Atlapulco,2260,forestal,"BS1kw(w), seco semiarido",Feozem Háplico,Humedal,Humedal,Conservación,Área de Conservación y Restauración Ambiental Comunitaria bajo el cuidado del Núcleo Agrario,Edwin Sosa Cabrera,Equipo CORENADR,24/11/2023
NEF_AtlasMXB_B64_2025,B64,MXB64_S,19.326,-99.005,34.3,2.07,45274,6.24,1.87,5.963680203,4.465,0.750929294,22.597,0.0019999,22.5950001,1.7445,0.563125,12.95213534,40.1243065,3.097891232,96.55861498,3.743836959,25.79135151,83.41375515,0.007470895,0.016777073,0.036568063,0.117175083,Ciudad de México,"Santa Catarina, Tláhuac",ANP Sierra de Santa Catarina,2580,forestal,"BS1kw(w), seco semiarido",Regosol Eútrico,Pastizal,Pastizal-Zacate,Conservación,Área Natural Protegida Estatal,Edwin Sosa Cabrera,Equipo CORENADR,27/10/2023
NEF_AtlasMXB_B65_2025,B65,MXB65_S,19.346,-99.09,40.1,2.08,45328,6.38,4.47,4.466911765,3.01,2.345851492,26.042,0.0024949,26.0395051,2.05475,0.438375,12.67283373,59.40006866,4.687197035,174.8563638,7.5104143,23.28185328,88.23676659,0.066881623,0.017190793,0.087429592,0.076148354,Ciudad de México,"Cerro de la Estrella, Iztapalapa",Parque Nacional Cerro de la Estrella,2320,forestal,"BS1kw(w), seco semiarido",Feozem Háplico,Pastizal,Pastizal-Zacate,Conservación,Parque Nacional reconocido como Área Natural Protegida,Edwin Sosa Cabrera,Equipo CORENADR,27/10/2023
NEF_AtlasMXB_B66_2025,B66,MXB66_S,19.564,-99.111,40.8,2.04,45271,7.41,7.16,12.3372696,4.475,27.18882801,69.6,0.0043583,69.5956417,4.801625,0.2875,14.49418514,242.0717972,16.70130435,791.994974,41.70455882,18.9906091,93.44026095,0.005527327,0.002955354,0.009142947,0.053195328,Ciudad de México,"Cuautepec, Gustavo A. Madero",ANP Sierra de Guadalupe,2570,forestal,"BS1kw(w), seco semiarido",Feozem Háplico,Matorral,Matorral,Conservación,Área Natural Protegida Estatal,Edwin Sosa Cabrera,Equipo CORENADR,27/10/2023
NEF_AtlasMXB_B67_2025,B67,MXB67_S,19.318,-99.277,30.3,2.01,45271,5.9,8.54,6.0396875,12.725,11.19203329,25.79,0.0022507,25.7877493,2.199375,0.77675,11.7250352,33.1995485,2.831509495,221.614024,96.7088271,2.291559423,67.5833481,0.001683357,0.059355087,0.015991893,0.046713162,Ciudad de México,"San Bartolo Ameyalco, Álvaro Obregón","El Colgado, San Bartolo Ameyalco",2900,agro,"Cb(w2)(w), semifrio",Feozem luvico,Agricultura activa,Cultivo de Maíz en Policultivo,Cultivo de Maíz en Policultivo,Parcela de Margarito Saldívar Gutiérrez (CIIC 1),Edwin Sosa Cabrera,Equipo CORENADR,13/11/2023
NEF_AtlasMXB_B68_2025,B68,MXB68_S,19.274,-99.252,38.1,2.01,45271,6.03,6.81,8.134330645,8.875,42.10965833,16.711,0.002343,16.708657,1.534125,0.769,10.89132698,21.72777243,1.994960988,119.1941715,47.83970622,2.491532263,50.96900378,0.020550781,0.078429402,0.049321875,0.121660625,Ciudad de México,"San Nicolás Totolapan, La Magdalena Contreras","El Gavillero, San Nicolas Totolapan (Ejido)",2600,agro,"Cb(w2)(w), semifrio",Feozem haplico,Agricultura activa,Cultivo de Maíz/ Haba,Cultivo de Maíz/ Haba,Parcela de Miguel Gutiérrez Gallegos (CIIC 1),Edwin Sosa Cabrera,Equipo CORENADR,13/11/2023
NEF_AtlasMXB_B69_2025,B69,MXB69_S,19.222,-99.162,27.9,2.04,45274,5.47,5.07,4.502690525,3.355,6.324330321,13.632,0.0020416,13.6299584,1.20975,0.552,11.26675627,24.69195362,2.191576087,236.2790557,7.005739296,33.72649847,76.11994973,0.000814902,0.002897485,0.042782343,0.08760194,Ciudad de México,"San Miguel Xicalco, Tlalpan",San Miguel Xicalco,2840,agro,"Cb(w2)(w), semifrio",Feozem haplico,Agricultura activa,Cultivo de maíz,Cultivo de maíz,Parcela de Isidra Balderas Onofre (CIIC 2),Edwin Sosa Cabrera,Equipo CORENADR,31/10/2023
NEF_AtlasMXB_B70_2025,B70,MXB70_S,19.249,-98.966,34,2.01,45322,6.33,13.37,9.399526406,167.53,72.42236599,54.196,0.0124379,54.1835621,4.172125,1.86875,12.98704188,28.99454828,2.232575251,149.4661391,60.51662542,2.469835985,139.3259908,0.019390758,0.016034015,0.056368482,0.04193815,Ciudad de México,"San Andrés Mixquic, Tláhuac",Tabla 4-12,2200,agro,"BS1kw(w), seco semiarido",Gleysol molico,Agricultura activa,Cultivo de Brócoli,Cultivo de Brócoli,Parcela de Juan Carlos Galicia Romero (DCPS),Edwin Sosa Cabrera,Equipo CORENADR,10/11/2023
NEF_AtlasMXB_B71_2025,B71,MXB71_S,19.188,-99.22,28.5,2.04,45273,4.54,4.79,5.36201973,12.295,1.501869902,40.94,0.0023184,40.9376816,2.8945,0.824875,14.14326537,49.62895178,3.509016518,265.5390084,59.95328662,4.429098443,68.54506759,0.016041119,0.032174268,0.056760881,0.064575785,Ciudad de México,"San Miguel Ajusco, Tlalpan","Plan De Mezotepec, San Miguel Ajusco",3360,agro,"Cb(w2)(w), semifrio",Andosol Humico,Agricultura activa,Cultivo de avena,Cultivo de avena,Parcela de Benito Camacho García (CIIC 2),Edwin Sosa Cabrera,Equipo CORENADR,31/10/2023
NEF_AtlasMXB_B72_2025,B72,MXB72_S,19.151,-99.122,32.8,2.02,45328,4.67,9.56,8.150717822,6.15,0,78.032,0.0022617,78.0297383,3.99025,1.08625,19.55510013,71.83405137,3.673417722,107.5059374,9.41817167,11.41473539,82.72905855,0.003429846,0.015244056,0.164203858,0.101180445,Ciudad de México,"San Salvador Cuauhtenco, Milpa Alta",San Salvador Cuauhtenco,3220,agro,"Cb(w2)(w), semifrio",Andosol molico,Agricultura activa,Cultivo de avena,Cultivo de avena,Parcela de Sandy Gabriela Estefanía García Almaras (CIIC 3),Edwin Sosa Cabrera,Equipo CORENADR,03/11/2023
NEF_AtlasMXB_B73_2025,B73,MXB73_S,19.197,-99.074,32.9,2.04,45273,5.88,6.01,4.869680851,1.685,3.727286846,15.488,0.0034835,15.4845165,1.477375,0.553375,10.48110094,27.98195889,2.669753784,275.0912524,83.41067058,3.298034298,91.69537984,0.098011222,0.060777641,0.48261222,0.034738155,Ciudad de México,"San Pablo Oztotepec, Milpa Alta",San Pablo Oztotepec,2580,agro,"Cb(w1)(w), templado subhumedo",Feozem haplico,Agricultura activa,Cultivo de maíz,Cultivo de maíz,Parcela de Inés Ramírez Mendoza (CIIC 3),Edwin Sosa Cabrera,Equipo CORENADR,03/11/2023
NEF_AtlasMXB_B74_2025,B74,MXB74_S,19.209,-99.029,36.8,2.01,45328,7.44,3.41,5.4001931,99.715,753.9740167,34.137,0.014378,34.122622,3.483125,2.454875,9.796553957,13.89994277,1.418860431,987.7835539,99.66195636,9.911340195,79.64904289,0.229127168,0.179940289,0.039848203,0.10998104,Ciudad de México,"Villa Milpa Alta, Milpa Alta","Ahuitetepehualoya, Milpa Alta",2440,agro,"BS1kw(w), seco semiarido",Feozem haplico,Agricultura activa,Cultivo de Nopal,Cultivo de Nopal,Parcela de Víctor Manuel Ríos Uribe (CIIC 3),Edwin Sosa Cabrera,Equipo CORENADR,03/11/2023
NEF_AtlasMXB_B75_2025,B75,MXB75_S,19.167,-99.021,34.9,0.197,45273,7.23,5.18,13.20257664,170.97,731.9119409,42.337,1.959,40.378,3.967,2.461125,10.1784724,16.40631825,1.611864493,556.2182956,32.599929,17.06194807,75.82024558,0.100115643,0.030274854,0.132663527,0.052323814,Ciudad de México,"San Lorenzo Tlacoyucan, Milpa Alta","Telera, San Lorenzo Tlacoyucan",2800,agro,"Cb(w1)(w), templado subhumedo",Feozem haplico,Agricultura activa,Cultivo de Nopal,Cultivo de Nopal,Parcela de María Cristina Cervantes Cabello (CIIC 3),Edwin Sosa Cabrera,Equipo CORENADR,06/11/2023
NEF_AtlasMXB_B76_2025,B76,MXB76_S,19.205,-98.977,30.3,1.98,45273,7.58,3.92,10.85848279,114.87,670.4811885,45.183,0.0041588,45.1788412,3.0705,1.194125,14.71383853,37.83426459,2.571338846,446.8925396,71.97956208,6.208603202,132.7072933,0.088671141,0.030026793,0.03841054,0.165492222,Ciudad de México,"San Francisco Tecoxpa, Milpa Alta","El Arenal, San Francisco Tecoxpa",2260,agro,"BS1kw(w), seco semiarido",Fluvisol eutrico,Agricultura activa,Cultivo de Nopal,Cultivo de Nopal,Parcela de Pedro Ramírez Peña (CIIC 3),Edwin Sosa Cabrera,Equipo CORENADR,06/11/2023
NEF_AtlasMXB_B77_2025,B77,MXB77_S,19.183,-98.977,28.4,1.97,45329,6.19,2.35,3.557367617,10.45,64.48483416,25.426,0.0035293,25.4224707,1.900875,0.529625,13.37408862,48.00088874,3.589096059,492.7688952,70.31071269,7.008446883,127.2854523,0.19002796,0.107534619,0.05256921,0.206382825,Ciudad de México,"San Jerónimo Miacatlán, Milpa Alta",San Jerónimo Miacatlán,2500,agro,"Cb(w1)(w), templado subhumedo",Feozem haplico,Agricultura activa,Cultivo de Frutales,Cultivo de Frutales,Parcela de Víctor Manuel Noriega Arenas (CIIC 3),Edwin Sosa Cabrera,Equipo CORENADR,06/11/2023
NEF_AtlasMXB_B78_2025,B78,MXB78_S,19.156,-98.974,36.6,2.02,45329,5.58,6.02,21.42888711,7.005,10.70781759,27.701,0.0027428,27.6982572,1.900875,0.8305,14.57131963,33.35130307,2.288832029,223.0124847,56.3874763,3.955000283,71.08755276,0.032422984,0.005419332,0.189009372,0.038658174,Ciudad de México,"Santa Ana Tlacotenco, Milpa Alta","La Era, Santa Ana Tlacotenco",2720,agro,"Cb(w1)(w), templado subhumedo",Feozem haplico,Agricultura activa,Cultivo de maíz,Cultivo de maíz,Parcela de Lucina Pineda Lima (CIIC 3),Edwin Sosa Cabrera,Equipo CORENADR,06/11/2023
NEF_AtlasMXB_B79_2025,B79,MXB79_S,19.191,-99.124,39.5,2.03,45329,5.75,6.19,4.946520855,6.345,35.49889497,10.039,0.0025584,10.0364416,1.073375,0.873,9.350359008,11.49649668,1.229524628,98.92949428,17.12029859,5.778491172,77.90261965,0.02327804,0.018228663,0.050297194,0.029513229,Ciudad de México,"San Francisco Tlalnepantla, Xochimilco","Zapotitla, San Francisco Tlalnepantla",2700,agro,"Cb(w2)(w), templado subhumedo",Andosol molico,Agricultura activa,Cultivo de Hortalizas,Cultivo de Hortalizas,Parcela de Armando Flores Rivera (CIIC 4),Edwin Sosa Cabrera,Equipo CORENADR,07/11/2023
NEF_AtlasMXB_B80_2025,B80,MXB80_S,19.265,-99.066,51.8,1.94,45330,6.94,11.88,9.102310734,661.875,204.6781689,82.602,0.0061597,82.5958403,6.365,1.45875,12.97656564,56.62097021,4.363324764,118.107803,3.118379563,37.8747361,95.4214372,0.114431145,0.074024194,0.119235507,0.011792523,Ciudad de México,"San Gregorio Atlapulco, Xochimilco","San sebastián, San Gregorio Atlapulco",2200,agro,"BS1kw(w), seco semiarido",Feozem gleyico,Agricultura activa,Cultivo de Verdolaga,Cultivo de Verdolaga,Parcela de Miguel Ángel Martínez Casillas (CIIC 4),Edwin Sosa Cabrera,Equipo CORENADR,07/11/2023
NEF_AtlasMXB_B81_2025,B81,MXB81_S,19.264,-99.042,53.2,1.9,45330,7.65,12.52,10.63748292,427.35,470.6145919,100.654,0.0093746,100.6446254,8.022,2.4395,12.54607646,41.25625144,3.288378766,80.77,3.029876278,26.65785418,183.4768802,0.070278763,0.031832475,0.064907138,0.137468842,Ciudad de México,"San Gregorio Atlapulco, Xochimilco","Tecatitla, San Gregorio Atlapulco",2200,agro,"BS1kw(w), seco semiarido",Feozem gleyico,Agricultura activa,Cultivo de Espinaca,Cultivo de Espinaca,Parcela de Crescencio Hernández Flores (CIIC 4),Edwin Sosa Cabrera,Equipo CORENADR,07/11/2023
NEF_AtlasMXB_B82_2025,B82,MXB82_S,19.237,-99.026,30.5,2.01,45330,6.29,3.75,5.305720123,33.03,33.50518129,15.38,0.0029608,15.3770392,2.095875,0.492125,7.336811213,31.24620615,4.258826518,213.218638,35.42875348,6.018237082,112.6109111,0.161949894,0.031911346,0.066708889,0.059877256,Ciudad de México,"Santiago Tulyehualco, Xochimilco","La virgen, Santiago Tulyehualco",2480,agro,"BS1kw(w), seco semiarido",Feozem haplico,Agricultura activa,Cultivo de maíz,Cultivo de maíz,Parcela de Ricardo Jiménez Aguilar,Edwin Sosa Cabrera,Equipo CORENADR,14/11/2023
NEF_AtlasMXB_B83_2025,B83,MXB83_S,19.176,-99.117,37.8,2.04,45330,5.67,6.06,6.727027455,9.93,12.36094826,14.989,0.001801,14.987199,1.50125,0.55375,9.983146711,27.06491919,2.711060948,342.4927822,35.76974057,9.574930564,125.4067561,0.106864663,0.040904754,0.046987186,0.101874873,Ciudad de México,"San Francisco Tlalnepantla, Xochimilco","Cuauhzonteco, San Francisco Tlalnepantla",2960,agro,"Cb(w2)(w), templado subhumedo",Feozem haplico,Agricultura activa,Cultivo de maíz,Cultivo de maíz,Parcela de Benito Toledo Contreras (CIIC 4),Edwin Sosa Cabrera,Equipo CORENADR,07/11/2023
NEF_AtlasMXB_B84_2025,B84,MXB84_S,19.255,-98.99,30.7,1.63,45331,7.48,11.63,5.859474273,333.675,374.3295044,82.645,3.146,79.499,6.664,1.6645,11.92962185,47.76148994,4.003604686,361.968753,33.57481322,10.78096103,140.9720379,0.037388375,0.006777284,0.075656475,0.091491552,Ciudad de México,"Santiago Tulyehualco, Tláhuac",Parcela 512 Tabla 2,2200,agro,"BS1kw(w), seco semiarido",Gleysol molico,Agricultura activa,Cultivo de lechuga,Cultivo de lechuga,Parcela de Jorge Enrique Villarruel Pérez (CIIC 4),Edwin Sosa Cabrera,Equipo CORENADR,14/11/2023
NEF_AtlasMXB_B85_2025,B85,MXB85_S,19.249,-98.954,30.3,1.96,45322,8.12,12.53,4.375928094,422.4,71.78622321,77.985,9.491,68.494,5.106375,1.022125,13.41342929,67.01137336,4.995841996,545.1931021,51.60003344,10.56575094,184.2575178,0.207844876,0.03039934,0.460796513,0.009286686,Estado de México,"Santiago Tulyehualco, Tláhuac","Tabla 9, Santiago Tulyehualco",2200,agro,"BS1kw(w), seco semiarido",Gleysol molico,Agricultura activa,Cultivo de maíz,Cultivo de maíz,Parcela de Margarita Martínez Rodríguez (CIIC 4),Edwin Sosa Cabrera,Equipo CORENADR,14/11/2023
NEF_AtlasMXB_B86_2025,B86,MXB86_S,19.312,-98.994,29.6,2.02,45331,6.81,3.23,3.914947023,35.89,41.65868374,16.695,0.0041136,16.6908864,1.899,0.286625,8.789303002,58.23248635,6.625381596,434.9866771,85.50073108,5.087519974,73.07071023,0.142188031,0.007140781,0.150622914,0.159861119,Ciudad de México,"Santa Catarina Yecahuizotl, Tláhuac",Santa Catarina,2360,agro,"BS1kw(w), seco semiarido",Feozem haplico,Agricultura activa,Cultivo de maíz,Cultivo de maíz,Parcela de Javier Chávez Castañeda (DCPS),Edwin Sosa Cabrera,Equipo CORENADR,09/11/2023
NEF_AtlasMXB_B87_2025,B87,MXB87_S,19.27,-99.019,29.4,1.92,45331,7.57,15.15,9.979338843,217.55,291.4752486,68.762,2.921,65.841,6.068,1.464125,10.85052736,44.96952104,4.144454879,128.4148376,31.02073142,4.139645706,128.8173142,0.01727904,0.037724956,0.087304621,0.168697992,Ciudad de México,"San Pedro Tláhuac, Tláhuac",Chinamperia San Pedro Tláhuac,2200,agro,"BS1kw(w), seco semiarido",Feozem haplico,Agricultura activa,Cultivo de lechuga,Cultivo de lechuga,Parcela de Victoria Martínez Martínez (DCPS),Edwin Sosa Cabrera,Equipo CORENADR,09/11/2023
NEF_AtlasMXB_B88_2025,B88,MXB88_S,19.248,-98.983,24.8,2.07,45331,7.51,12.33,6.951062925,148.85,167.8530673,78.405,2.244,76.161,6.030375,1.268375,12.62956284,60.04612201,4.75441017,389.9913989,14.14625287,27.56853015,135.7399116,0.02807241,0.008978065,0.085554011,0.00579272,Ciudad de México,"San Juan Ixtayopan, Tláhuac",Segundo Cuarto,2200,agro,"BS1kw(w), seco semiarido",Gleysol molico,Agricultura activa,Cultivo de maíz,Cultivo de maíz,Parcela de Guadalupe Jiménez Zamudio (DCPS),Edwin Sosa Cabrera,Equipo CORENADR,09/11/2023
NEF_AtlasMXB_B89_2025,B89,MXB89_S,28.081,-105.524,39.8,2.08,45331,7.5,1.15,3.378368263,22.975,2.777769461,26.05,NA,NA,2.2095,0.524375,11.78999774,49.67818832,4.213587604,557.7,41.4,13.5,72.82924098,0.118803089,0.007781318,0.15022914,0.161119479,Chihuahua,Delicias Chihuahua,"Huertas ""El Maguey""",1220,agro,Árido,Suelo-Franco Arenoso,Agricultura activa,Cultivo de Nogal pecanero,Cultivo nogalero con escasa covertura vegetal,Parcela de nogal con riego,Judith A. Sánchez Ledesma,Judith A. Sánchez Ledesma,23/10/2023
